lng,lat,elevation,resolution
33.2414,2.3184,1046.5951,152.7032
33.2414,2.3185,1046.5951,152.7032
33.2414,2.3186,1046.5951,152.7032
33.2414,2.3187,1046.5951,152.7032
33.2414,2.3188,1046.5951,152.7032
33.2414,2.3189,1046.5951,152.7032
33.2414,2.319,1046.5951,152.7032
33.2414,2.3191,1046.5951,152.7032
33.2414,2.3192,1046.5951,152.7032
33.2414,2.3193,1046.5951,152.7032
33.2414,2.3194,1046.5951,152.7032
33.2414,2.3195,1046.5735,152.7032
33.2414,2.3196,1046.3845,152.7032
33.2414,2.3197,1046.1956,152.7032
33.2414,2.3198,1046.0065,152.7032
33.2414,2.3199,1045.8175,152.7032
33.2414,2.32,1045.6285,152.7032
33.2414,2.3201,1045.4396,152.7032
33.2414,2.3202,1045.323,152.7032
33.2414,2.3203,1045.4253,152.7032
33.2414,2.3204,1045.5276,152.7032
33.2414,2.3205,1045.6299,152.7032
33.2414,2.3206,1045.7322,152.7032
33.2414,2.3207,1045.8345,152.7032
33.2414,2.3208,1045.9368,152.7032
33.2414,2.3209,1046.0331,152.7032
33.2414,2.321,1046.1198,152.7032
33.2414,2.3211,1046.2064,152.7032
33.2414,2.3212,1046.2931,152.7032
33.2414,2.3213,1046.3798,152.7032
33.2414,2.3214,1046.4664,152.7032
33.2414,2.3215,1046.5531,152.7032
33.2414,2.3216,1046.7229,152.7032
33.2414,2.3217,1046.9708,152.7032
33.2414,2.3218,1047.2188,152.7032
33.2414,2.3219,1047.4667,152.7032
33.2414,2.322,1047.7146,152.7032
33.2414,2.3221,1047.9626,152.7032
33.2414,2.3222,1048.2106,152.7032
33.2414,2.3223,1048.2976,152.7032
33.2414,2.3224,1048.2976,152.7032
33.2414,2.3225,1048.2976,152.7032
33.2414,2.3226,1048.2976,152.7032
33.2414,2.3227,1048.2976,152.7032
33.2414,2.3228,1048.2976,152.7032
33.2414,2.3229,1048.2976,152.7032
33.2414,2.323,1048.2175,152.7032
33.2414,2.3231,1048.1152,152.7032
33.2414,2.3232,1048.0129,152.7032
33.2414,2.3233,1047.9106,152.7032
33.2414,2.3234,1047.8083,152.7032
33.2414,2.3235,1047.7061,152.7032
33.2414,2.3236,1047.6038,152.7032
33.2414,2.3237,1047.7285,152.7032
33.2414,2.3238,1047.8741,152.7032
33.2414,2.3239,1048.0198,152.7032
33.2414,2.324,1048.1654,152.7032
33.2414,2.3241,1048.311,152.7032
33.2414,2.3242,1048.4567,152.7032
33.2414,2.3243,1048.5901,152.7032
33.2414,2.3244,1048.4878,152.7032
33.2414,2.3245,1048.3855,152.7032
33.2414,2.3246,1048.2832,152.7032
33.2414,2.3247,1048.1809,152.7032
33.2414,2.3248,1048.0786,152.7032
33.2414,2.3249,1047.9763,152.7032
33.2414,2.325,1047.9302,152.7032
33.2414,2.3251,1048.1348,152.7032
33.2414,2.3252,1048.3394,152.7032
33.2414,2.3253,1048.5439,152.7032
33.2414,2.3254,1048.7485,152.7032
33.2414,2.3255,1048.9531,152.7032
33.2414,2.3256,1049.1577,152.7032
33.2414,2.3257,1049.2976,152.7032
33.2414,2.3258,1049.2976,152.7032
33.2414,2.3259,1049.2976,152.7032
33.2414,2.326,1049.2976,152.7032
33.2414,2.3261,1049.2976,152.7032
33.2414,2.3262,1049.2976,152.7032
33.2414,2.3263,1049.2976,152.7032
33.2414,2.3264,1049.2321,152.7032
33.2414,2.3265,1049.0863,152.7032
33.2414,2.3266,1048.9407,152.7032
33.2414,2.3267,1048.795,152.7032
33.2414,2.3268,1048.6494,152.7032
33.2414,2.3269,1048.5038,152.7032
33.2414,2.327,1048.3582,152.7032
33.2414,2.3271,1048.2378,152.7032
33.2414,2.3272,1048.1355,152.7032
33.2414,2.3273,1048.0332,152.7032
33.2414,2.3274,1047.9309,152.7032
33.2414,2.3275,1047.8286,152.7032
33.2414,2.3276,1047.7263,152.7032
33.2414,2.3277,1047.624,152.7032
33.2414,2.3278,1047.5641,152.7032
33.2414,2.3279,1047.5208,152.7032
33.2414,2.328,1047.4774,152.7032
33.2414,2.3281,1047.4341,152.7032
33.2414,2.3282,1047.3907,152.7032
33.2414,2.3283,1047.3474,152.7032
33.2414,2.3284,1047.3041,152.7032
33.2414,2.3285,1047.1737,152.7032
33.2414,2.3286,1047.0281,152.7032
33.2414,2.3287,1046.8823,152.7032
33.2414,2.3288,1046.7367,152.7032
33.2414,2.3289,1046.5911,152.7032
33.2414,2.329,1046.4454,152.7032
33.2414,2.3291,1046.2998,152.7032
33.2414,2.3292,1046.1969,152.7032
33.2414,2.3293,1046.0946,152.7032
33.2414,2.3294,1045.9923,152.7032
33.2414,2.3295,1045.89,152.7032
33.2414,2.3296,1045.7877,152.7032
33.2414,2.3297,1045.6854,152.7032
33.2414,2.3298,1045.5951,152.7032
33.2414,2.3299,1045.5951,152.7032
33.2414,2.33,1045.5951,152.7032
33.2414,2.3301,1045.5951,152.7032
33.2414,2.3302,1045.5951,152.7032
33.2414,2.3303,1045.5951,152.7032
33.2414,2.3304,1045.5951,152.7032
33.2414,2.3305,1045.5842,152.7032
33.2414,2.3306,1045.5409,152.7032
33.2414,2.3307,1045.4976,152.7032
33.2414,2.3308,1045.4542,152.7032
33.2414,2.3309,1045.4109,152.7032
33.2414,2.331,1045.3676,152.7032
33.2414,2.3311,1045.3242,152.7032
33.2414,2.3312,1045.2582,152.7032
33.2414,2.3313,1045.1559,152.7032
33.2414,2.3314,1045.0536,152.7032
33.2414,2.3315,1044.9513,152.7032
33.2414,2.3316,1044.849,152.7032
33.2414,2.3317,1044.7467,152.7032
33.2414,2.3318,1044.6444,152.7032
33.2414,2.3319,1044.5726,152.7032
33.2414,2.332,1044.5293,152.7032
33.2414,2.3321,1044.486,152.7032
33.2414,2.3322,1044.4426,152.7032
33.2414,2.3323,1044.3993,152.7032
33.2414,2.3324,1044.356,152.7032
33.2414,2.3325,1044.3126,152.7032
33.2414,2.3326,1044.2026,152.7032
33.2414,2.3327,1044.057,152.7032
33.2414,2.3328,1043.9114,152.7032
33.2414,2.3329,1043.7657,152.7032
33.2414,2.333,1043.62,152.7032
33.2414,2.3331,1043.4744,152.7032
33.2414,2.3332,1043.3287,152.7032
33.2414,2.3333,1043.2172,152.7032
33.2414,2.3334,1043.1149,152.7032
33.2414,2.3335,1043.0126,152.7032
33.2414,2.3336,1042.9103,152.7032
33.2414,2.3337,1042.808,152.7032
33.2414,2.3338,1042.7057,152.7032
33.2414,2.3339,1042.6034,152.7032
33.2414,2.334,1042.5951,152.7032
33.2414,2.3341,1042.5951,152.7032
33.2414,2.3342,1042.5951,152.7032
33.2414,2.3343,1042.5951,152.7032
33.2414,2.3344,1042.5951,152.7032
33.2414,2.3345,1042.5951,152.7032
33.2414,2.3346,1042.5929,152.7032
33.2414,2.3347,1042.5496,152.7032
33.2414,2.3348,1042.5062,152.7032
33.2414,2.3349,1042.4629,152.7032
33.2414,2.335,1042.4196,152.7032
33.2414,2.3351,1042.3762,152.7032
33.2414,2.3352,1042.3329,152.7032
33.2414,2.3353,1042.2433,152.7032
33.2414,2.3354,1041.952,152.7032
33.2414,2.3355,1041.6608,152.7032
33.2414,2.3356,1041.3695,152.7032
33.2414,2.3357,1041.0782,152.7032
33.2414,2.3358,1040.787,152.7032
33.2414,2.3359,1040.4957,152.7032
33.2414,2.336,1040.2976,152.7032
33.2414,2.3361,1040.2976,152.7032
33.2414,2.3362,1040.2976,152.7032
33.2414,2.3363,1040.2976,152.7032
33.2414,2.3364,1040.2976,152.7032
33.2414,2.3365,1040.2976,152.7032
33.2414,2.3366,1040.2976,152.7032
33.2414,2.3367,1040.1655,152.7032
33.2414,2.3368,1039.8743,152.7032
33.2414,2.3369,1039.583,152.7032
33.2414,2.337,1039.2917,152.7032
33.2414,2.3371,1039.0004,152.7032
33.2414,2.3372,1038.7091,152.7032
33.2414,2.3373,1038.4178,152.7032
33.2414,2.3374,1038.2976,152.7032
33.2414,2.3375,1038.2976,152.7032
33.2414,2.3376,1038.2976,152.7032
33.2414,2.3377,1038.2976,152.7032
33.2414,2.3378,1038.2976,152.7032
33.2414,2.3379,1038.2976,152.7032
33.2414,2.338,1038.2976,152.7032
33.2414,2.3381,1038.1926,152.7032
33.2414,2.3382,1038.047,152.7032
33.2414,2.3383,1037.9014,152.7032
33.2414,2.3384,1037.7557,152.7032
33.2414,2.3385,1037.6101,152.7032
33.2414,2.3386,1037.4645,152.7032
33.2414,2.3387,1037.3188,152.7032
33.2414,2.3388,1037.2102,152.7032
33.2414,2.3389,1037.1079,152.7032
33.2414,2.339,1037.0056,152.7032
33.2414,2.3391,1036.9033,152.7032
33.2414,2.3392,1036.801,152.7032
33.2414,2.3393,1036.6987,152.7032
33.2414,2.3394,1036.5964,152.7032
33.2414,2.3395,1036.5951,152.7032
33.2414,2.3396,1036.5951,152.7032
33.2414,2.3397,1036.5951,152.7032
33.2414,2.3398,1036.5951,152.7032
33.2414,2.3399,1036.5951,152.7032
33.2414,2.34,1036.5951,152.7032
33.2414,2.3401,1036.5898,152.7032
33.2414,2.3402,1036.5465,152.7032
33.2414,2.3403,1036.5032,152.7032
33.2414,2.3404,1036.4598,152.7032
33.2414,2.3405,1036.4165,152.7032
33.2414,2.3406,1036.3732,152.7032
33.2414,2.3407,1036.3298,152.7032
33.2414,2.3408,1036.2234,152.7032
33.2414,2.3409,1035.9321,152.7032
33.2414,2.341,1035.6409,152.7032
33.2414,2.3411,1035.3496,152.7032
33.2414,2.3412,1035.0583,152.7032
33.2414,2.3413,1034.7671,152.7032
33.2414,2.3414,1034.4757,152.7032
33.2414,2.3415,1034.2411,152.7032
33.2414,2.3416,1034.0953,152.7032
33.2414,2.3417,1033.9497,152.7032
33.2414,2.3418,1033.8041,152.7032
33.2414,2.3419,1033.6584,152.7032
33.2414,2.342,1033.5128,152.7032
33.2414,2.3421,1033.3672,152.7032
33.2414,2.3422,1033.2216,152.7032
33.2414,2.3423,1033.0759,152.7032
33.2414,2.3424,1032.9303,152.7032
33.2414,2.3425,1032.7847,152.7032
33.2414,2.3426,1032.639,152.7032
33.2414,2.3427,1032.4934,152.7032
33.2414,2.3428,1032.3478,152.7032
33.2414,2.3429,1032.1737,152.7032
33.2414,2.343,1031.9847,152.7032
33.2414,2.3431,1031.7958,152.7032
33.2415,2.3184,1046.8864,152.7032
33.2415,2.3185,1046.8864,152.7032
33.2415,2.3186,1046.8864,152.7032
33.2415,2.3187,1046.8864,152.7032
33.2415,2.3188,1046.8864,152.7032
33.2415,2.3189,1046.8864,152.7032
33.2415,2.319,1046.8864,152.7032
33.2415,2.3191,1046.8864,152.7032
33.2415,2.3192,1046.8864,152.7032
33.2415,2.3193,1046.8864,152.7032
33.2415,2.3194,1046.8864,152.7032
33.2415,2.3195,1046.8623,152.7032
33.2415,2.3196,1046.6521,152.7032
33.2415,2.3197,1046.4419,152.7032
33.2415,2.3198,1046.2317,152.7032
33.2415,2.3199,1046.0216,152.7032
33.2415,2.32,1045.8114,152.7032
33.2415,2.3201,1045.6012,152.7032
33.2415,2.3202,1045.4634,152.7032
33.2415,2.3203,1045.5444,152.7032
33.2415,2.3204,1045.6255,152.7032
33.2415,2.3205,1045.7065,152.7032
33.2415,2.3206,1045.7877,152.7032
33.2415,2.3207,1045.8688,152.7032
33.2415,2.3208,1045.9498,152.7032
33.2415,2.3209,1046.0493,152.7032
33.2415,2.321,1046.1783,152.7032
33.2415,2.3211,1046.3075,152.7032
33.2415,2.3212,1046.4365,152.7032
33.2415,2.3213,1046.5657,152.7032
33.2415,2.3214,1046.6947,152.7032
33.2415,2.3215,1046.8239,152.7032
33.2415,2.3216,1047.0033,152.7032
33.2415,2.3217,1047.23,152.7032
33.2415,2.3218,1047.4567,152.7032
33.2415,2.3219,1047.6835,152.7032
33.2415,2.322,1047.9102,152.7032
33.2415,2.3221,1048.1368,152.7032
33.2415,2.3222,1048.3636,152.7032
33.2415,2.3223,1048.4432,152.7032
33.2415,2.3224,1048.4432,152.7032
33.2415,2.3225,1048.4432,152.7032
33.2415,2.3226,1048.4432,152.7032
33.2415,2.3227,1048.4432,152.7032
33.2415,2.3228,1048.4432,152.7032
33.2415,2.3229,1048.4432,152.7032
33.2415,2.323,1048.3798,152.7032
33.2415,2.3231,1048.2987,152.7032
33.2415,2.3232,1048.2175,152.7032
33.2415,2.3233,1048.1365,152.7032
33.2415,2.3234,1048.0554,152.7032
33.2415,2.3235,1047.9742,152.7032
33.2415,2.3236,1047.8932,152.7032
33.2415,2.3237,1048.0198,152.7032
33.2415,2.3238,1048.1654,152.7032
33.2415,2.3239,1048.311,152.7032
33.2415,2.324,1048.4567,152.7032
33.2415,2.3241,1048.6023,152.7032
33.2415,2.3242,1048.7479,152.7032
33.2415,2.3243,1048.8823,152.7032
33.2415,2.3244,1048.8013,152.7032
33.2415,2.3245,1048.7202,152.7032
33.2415,2.3246,1048.6392,152.7032
33.2415,2.3247,1048.558,152.7032
33.2415,2.3248,1048.4769,152.7032
33.2415,2.3249,1048.3959,152.7032
33.2415,2.325,1048.3593,152.7032
33.2415,2.3251,1048.5215,152.7032
33.2415,2.3252,1048.6837,152.7032
33.2415,2.3253,1048.8458,152.7032
33.2415,2.3254,1049.0081,152.7032
33.2415,2.3255,1049.1702,152.7032
33.2415,2.3256,1049.3324,152.7032
33.2415,2.3257,1049.4432,152.7032
33.2415,2.3258,1049.4432,152.7032
33.2415,2.3259,1049.4432,152.7032
33.2415,2.326,1049.4432,152.7032
33.2415,2.3261,1049.4432,152.7032
33.2415,2.3262,1049.4432,152.7032
33.2415,2.3263,1049.4432,152.7032
33.2415,2.3264,1049.3777,152.7032
33.2415,2.3265,1049.2321,152.7032
33.2415,2.3266,1049.0863,152.7032
33.2415,2.3267,1048.9407,152.7032
33.2415,2.3268,1048.795,152.7032
33.2415,2.3269,1048.6494,152.7032
33.2415,2.327,1048.5038,152.7032
33.2415,2.3271,1048.3959,152.7032
33.2415,2.3272,1048.3148,152.7032
33.2415,2.3273,1048.2336,152.7032
33.2415,2.3274,1048.1526,152.7032
33.2415,2.3275,1048.0715,152.7032
33.2415,2.3276,1047.9904,152.7032
33.2415,2.3277,1047.9093,152.7032
33.2415,2.3278,1047.8401,152.7032
33.2415,2.3279,1047.7755,152.7032
33.2415,2.328,1047.7111,152.7032
33.2415,2.3281,1047.6465,152.7032
33.2415,2.3282,1047.5819,152.7032
33.2415,2.3283,1047.5173,152.7032
33.2415,2.3284,1047.4529,152.7032
33.2415,2.3285,1047.3193,152.7032
33.2415,2.3286,1047.1737,152.7032
33.2415,2.3287,1047.0281,152.7032
33.2415,2.3288,1046.8823,152.7032
33.2415,2.3289,1046.7367,152.7032
33.2415,2.329,1046.5911,152.7032
33.2415,2.3291,1046.4454,152.7032
33.2415,2.3292,1046.3634,152.7032
33.2415,2.3293,1046.2822,152.7032
33.2415,2.3294,1046.2012,152.7032
33.2415,2.3295,1046.1201,152.7032
33.2415,2.3296,1046.0391,152.7032
33.2415,2.3297,1045.9579,152.7032
33.2415,2.3298,1045.8864,152.7032
33.2415,2.3299,1045.8864,152.7032
33.2415,2.33,1045.8864,152.7032
33.2415,2.3301,1045.8864,152.7032
33.2415,2.3302,1045.8864,152.7032
33.2415,2.3303,1045.8864,152.7032
33.2415,2.3304,1045.8864,152.7032
33.2415,2.3305,1045.8701,152.7032
33.2415,2.3306,1045.8057,152.7032
33.2415,2.3307,1045.7411,152.7032
33.2415,2.3308,1045.6765,152.7032
33.2415,2.3309,1045.6119,152.7032
33.2415,2.331,1045.5475,152.7032
33.2415,2.3311,1045.4829,152.7032
33.2415,2.3312,1045.412,152.7032
33.2415,2.3313,1045.3309,152.7032
33.2415,2.3314,1045.2498,152.7032
